ddn	电信
野球	体育
长春花	自然
电离辐射	物理化学
衣原体	内科学
银行汇票	会计学
压缩比	冶金
调制解调器	科学知识
败北	人物
陈化成	鸦片战争
山海关	河北
氢键	物理化学
ddr	街机
腾冲县	云南省
tips	材料
田三七	云南
vhdl	集成电路
老挝	东南亚
香港大学	香港
机油	发动机
汇票	票据
成思危	风险投资
厌氧菌	生活
网页	搜索引擎
编年体	历史学
无锡	江苏
血象	医学
马六甲海峡	新加坡
光良	音乐
阿尔及利亚	北非
纵横家	历史
沙门	古印度
汕头	广东
温室效应	自然科学
甜菜	自然
蓝领	工作
四书五经	科举
勾股定理	数学史
湛江	吴川
喀麦隆	亚美尼亚
敦化	延边
沙眼	内科学
镁	自然科学
犹太教	耶路撒冷
扬中	镇江
开门七件事	调料
二氧化碳	无机化学
茶叶	植物
坚壁清野	三国演义
蔺相如	安阳
疟疾	生活
红茶	体育人物
蚩尤	远古时代
湖南卫视	广播电视
场效应管	自然科学
山顶洞人	人类学
贵德县	青海
马来西亚	新加坡
松原	吉林
佛教	信仰
微处理器	发明
洛阳	河南
后现代主义	画派
罗荣桓	国防
小连城	广西
泥石流	自然科学
晋文公	山西省
沙眼	公共卫生
太平洋	自然科学
周笔畅	流行音乐
囫囵吞枣	典故
韵脚	诗词
分频器	音箱
灵峰	温州
南京师范大学	江苏
数九	生活
消炎药	医药
小户型	建筑物
幻觉	内科学
聚乙烯	自然科学
中华人民共和国国务院	职业
宣萱	香港
china	上海
宿迁	江苏
康保县	张家口
重阳节	传统
马费成	科研
崇仁县	江西
银行汇票	会计
中国国家航天局	航空航天
三叶虫	古生物
牙刷	生活
太平间	医学
电报	电磁波
条形码	自然科学
荨麻疹	内科学
唯美主义	诗体
金线泉	山东
卢纶	唐诗
民歌	人物
长春	东北
地沟油	卫生
米兰花	自然
cosplay	动漫
陈明真	音乐
亚硝酸钠	自然科学
显微镜	科学知识
中药	黑龙江
南澳岛	汕头
逃逸塔	太空
共同市场	人文科学
肉火烧	山东
对流	地球
后现代主义	文学艺术
零冠词	英语
总线	数据传输
国民待遇	国际私法
灵峰	雁荡山
sql	地理学
鸡眼	中药
陈慧娴	音乐
邮票	生活
徐匡迪	上海市
博士后	博士
印度尼西亚	缅甸
中央处理器	信息系统
gprs	wap
机油	汽车
菩萨	亚洲
过桥米线	生活
宽带	互联网
自杀	法医学
印度尼西亚	印尼
燕山大学	河北
武汉长江大桥	武汉
除夕	生活
奇函数	定义
广角镜头	自然科学
阻抗	自然科学
饮茶	茶文化
日凌	太阳
鄂毕河	俄罗斯
尼泊尔	亚洲
信托公司	经济
对流雨	气象
回魂夜	周星驰
定兴县	河北
结构力学	土木工程
自旋	自然科学
虚拟光驱	光驱
李英爱	影视
学分制	考试
白平衡	电子科技
汗牛充栋	文化
瓜田李下	典故
特定物	物权法
陈独秀	共产主义
邓州	河南
杨采妮	香港
火龙果	自然
庐江县	庐江
枇杷	科学
西安交通大学	西安
newcastle	英国
太平天国运动	鸦片战争
信令	通信
抗日战争	毛泽东
公关	客户服务
网吧	生活
电解	自然科学
东南大学	南京
紫苏叶	中医学
养眼	生活
后现代主义	音乐学
孙燕姿	金曲奖
网格	古生物学
玛旁雍错	西藏
陈至立	女性
龟背竹	自然
山口胜平	明星
亚洲	日本
尿频	医院
升水	经济学
情商	心理学
武穴	湖北
索马里	海地
徐霞客	元明清
方程	自然科学
小连城	生活
赔率	博彩
性交	性学
黄庭坚	宋词
牛百叶	生活
日凌	地球
蒙古族	内蒙古
袁世凯	中华民国
溧阳	江苏
雅思	英语
流转税	经济法
沙加	圣斗士
余干县	上饶
支原体	生物医学
南京大学	南京
长白山天池	吉林省
范成大	宋词
锌	材料力学
包抄	体育
邋遢	生活
杨守敬	绘画
sql	数据库
沐浴	生活
中秋节	月饼
视频格式	手机
亚健康	疾病
宜黄县	江西
基因	内科学
行货	质量
色拉油	商品
盐酸	证券法
揭阳	广东
宋庆龄	孙中山
华南理工大学	河海大学
一氧化碳	自然科学
有机玻璃	自然科学
霍英东	香港
琼脂	科学
土著	人种
苏铁	农作物
矿物	九江
羽化	ps
赤道	自然科学
人力资源	管理学
氰化钾	自然科学
墨西哥湾	自然科学
机油	石油
齐人之福	孟子
周华健	音乐
高甲戏	福建
乳山	山东
馄饨	生活
云吞面	生活
径流	土壤学
曲阳县	保定
印花税	住房
硫酸	冶金
色温	光谱学
普拉提	健身
同济大学	上海
亚健康	病理学
许远	浙江
集成电路	微电子学
半双工	电子科技
生物学	自然科学
水草	自然
预警机	空军
鹤顶红	金鱼
公因数	自然科学
大连理工大学	天津大学
清源山	泉州
熟语	现代汉语
色素痣	病理学
堰塞湖	自然科学
分辨率	自然科学
楚庄王	楚国
吴官正	履历
网页	网络通讯
面包	面条
代沟	交流
转口贸易	国际贸易
摩尔定律	理论
黄土高原	甘肃
diy	居家
曹刚川	亚美尼亚
巴拉圭	南美洲
相对湿度	船舶
集成电路	科学知识
辛晓琪	音乐
物华天宝	城市
山西大学	山西省
填权	财经
神农架	汉江
主语	英语
计提	会计学
印花税	财政
心理疾病	流行病学
劳动教养	行政法
钱玄同	世界语
石家庄	河北
宁阳县	山东
春羽	自然
带宽	信息论
武昌鱼	鄂州
宋干节	泰国
池莉	武汉
转经筒	西藏
淋巴	医疗
岐山县	岐山
鹤壁	中原
计算机	自然科学
呃逆	建筑学
排比	写作
中国电信集团公司	通讯
巴拿马运河	世界
许景淳	音乐
尘螨	昆虫学
黄贯中	香港
回族	礼仪
灯谜	民族
李佳明	娱乐
狗仗人势	故事
王力宏	金曲奖
小灵通	电子科技
周永康	履历
山顶洞人	上古史
楚庄王	春秋
缅甸	东南亚
财务	财务管理
里海	中东国家
囫囵吞枣	枣类
太平洋	生态环境
辽源	吉林
沁阳	焦作
哈尔滨	东北
麦当劳	生活
中北大学	山西省
王先谦	戊戌变法
珊瑚礁	环境
范思哲	生活
筷子	生活
王母娘娘	信仰
洛龙区	河南
中性笔	生活
华南理工大学	重庆大学
期货	期货市场
岑参	唐诗
关卡	财经
鱼翅	生活
平井坚	娱乐
莆仙戏	莆田
多伦多	法国
周铁农	民革
鱼香肉丝	生活
乙酸	石油工业
太阳历	神话
纳西族	人文
风湿病	卫生
润滑脂	石油工业
藏珠格	传统
被子植物	自然资源
湛江	广州湾
小户型	生活
结汇	国际金融
相对湿度	涂料
哈雷彗星	自然科学
赵本山	二人转
泷泽秀明	明星
六安	寿县
胰岛素	内分泌
白血病	医疗
泡沫经济	宏观经济
万年青	自然
白菜	自然
骆宾王	唐诗
新陈代谢	常见疾病
北极	海洋
信托投资	信托
秘鲁	世界
伪科学	空气
启蒙运动	人文
戴望舒	主编
临沂	山东
基督教	东正教
胡适	红楼梦
因式	自然科学
激素	自然科学
树脂	自然科学
武昌鱼	自然
赵雅芝	影视
命题	抽象
射手座	心理
杜冷丁	药学
香烟	人类
孟加拉湾	世界
柬埔寨	亚洲
资溪县	江西
曹禺	戏曲
天水	甘肃
宁波大学	浙江
茶叶	保健茶
闪客	生活
休眠期	自然科学
火把节	传说
不等式	自然科学
饮茶	养生
归元寺	湖北
鸭嘴兽	澳大利亚
谥号	皇帝
酸菜鱼	南京
电泳技术	自然科学
盘锦	辽宁省
青藏铁路	长江大桥
张静初	娱乐
重阳节	新年
炒菜	生活
单机游戏	小游戏
鱼香肉丝	八大菜系
豫剧	河南
河莉秀	娱乐
质量数	自然科学
黄雀	自然
墨西哥湾	世界
枣庄	山东
焚书坑儒	秦朝
镁合金	自然科学
潮阳区	汕头
劳动教养	法治
usb	数据传输
读书笔记	读书
西洋参	卫生保健
申根协定	国际化
胡说八道	民俗
庐山	江西
沈曾植	绘画
虚拟社区	互动
埃及	北非
胰岛素	内科学
曲尺	居家
总线	冶金
光圈	测绘学
禅宗	人文
三门峡	人文地理
沈阳大学	沈阳
红移	自然科学
亳州	安徽
天主教	梵蒂冈
虚拟社区	腾讯
仙桃	湖北
颤音	音乐学
澧县	湖南
强迫症	焦虑症
鲟	自然
韩正	上海
林志颖	娱乐
朱由检	明朝
香炉	生活
罗大佑	音乐
韩端	体育人物
萨迦派	藏族
葛优	影视
二胡	明星
桓仁满族自治县	本溪
喻恩泰	电视
人力资本	社会科学
计提	审计
地沟油	食品安全
长笛	明星
现金流量	社会科学
红桧	自然
无纺布	医疗
管涌	自然科学
粟裕	新四军
沙眼	病理学
玉兰片	加工
晋祠	遗址
合同法	合同
嘌呤	自然科学
百脉泉	济南
元谋人	历史学
邰正宵	娱乐
齐秦	音乐
夜大	学习
麻疹	内科学
单项式	字母
智利	南美洲
平江县	湖南省
黄菊	佳木斯市
水资源	环境
坦桑尼亚	新加坡
达人	高等植物
蕙兰	中华文化
六人行	美国
广西师范大学	广西
醋	生活
事实	理论
印度尼西亚	亚洲
网桥	网络通讯
虞世南	隋唐
江美琪	音乐
四书五经	孔子
三叶虫	古生代
蛋彩画	文艺复兴
过桥米线	传说
滨崎步	陈奕迅
橄榄石	自然科学
鄂尔多斯	内蒙古
地动仪	自然科学
usb	玩具
袁世凯	辛亥革命
许茹芸	音乐
桑拿浴	生活
刚果河	地理学
贾庆林	摩尔多瓦
和弦	音乐
厄瓜多尔	世界
马费成	情报学
肾病	医疗
冰川	地球
胰岛素	糖尿病
太阳系	自然科学
新乐府	古代文学
支原体	内科学
蓝领	美国
小鸟球	体育运动
中南大学	湖南
联合国	哲学家
克罗地亚	世界
唐古拉山脉	青海
晁错	西汉
李玟	音乐
代码	软件
吴仪	胡锦涛
东京大学	地震
类星体	测绘学
量纲	自然科学
坦桑尼亚	东非
李瑞环	宝坻
通用网址	注册
塔吉克斯坦	亚洲
硫酸	自然科学
宋美龄	西安事变
蔡和森	书籍
萝卜腿	肥胖
等离子	家电
分频器	自然科学
外八庙	河北
豆汁	生活
无理数	自然科学
双百方针	文艺
跳线	硬件
音高	音乐学
白蚁	自然
三角形	自然科学
预警机	信息化
电报	天线
尼日利亚	巴勒斯坦
幻觉	心理
海瑞	明朝
像素	数码相机
华南师范大学附属中学	广东省
班得瑞	轻音乐
网络	网易
李贞贤	娱乐
胡适	思想
二锅头	生活
中生代	自然科学
谐振	自然科学
核反应堆	能源
亚美尼亚	苏联
孝感	湖北
神经病	医疗
血小板	血液
定州	河北
传销	绵阳
饶阳县	衡水
吴官正	武汉市
世界贸易组织	泰国
几何学	生物力学
须菩提	奇幻
高句丽	新罗
溧阳	常州
燃料电池	潜艇
碳化硅	自然科学
超线程	硬件
对数	指数
微处理器	amd
重阳节	清明节
宿州	安徽
汇票	银行
骆驼刺	西部
乙醇	化学工业
东帝汶	亚洲
gprs	无线
蒙阴县	山东
侏罗纪	自然科学
常熟	江苏
狗肉	生活
行货	手机
甜菜	自然科学
qq	传播
贝丽珠	月亮
章子怡	娱乐
原子团	化学反应
果酸	护肤
剪辑	测绘学
升水	人文科学
宜家	生活
伊拉克	中东
糯米	自然
中南财经政法大学	武汉
电机	自然科学
矽肺	医疗
新疆师范大学	新疆
粤菜	生活
还原精灵	数据
武侠小说	金庸
和珅	元明清
音标	文科
电离辐射	电学
亚洲	伊朗
中山装	生活
亚洲	印度
中秋节	新年
whois	数据管理
dms	市场营销
癔病	治疗
乌兰巴托	越南
脑室	疾病
阜阳	安徽
射手座	自然科学
盗汗	卫生
白平衡	相机
藩镇割据	隋唐
几何学	自然科学
根毛	自然科学
电离辐射	内科学
氢键	自然科学
梁启超	税务
自由贸易区	人文科学
国际收支	国际金融
金领	管理学
钱库镇	苍南
王国维	甲骨文
曾荫权	香港
大理石	建筑
启东	南通
临城县	河北
傻瓜相机	摄影
李长春	胡锦涛
钱库镇	浙江
明心见性	禅宗
函数	自然科学
蔡依林	金曲奖
挂历	生活
利息	会计学
自慰	青少年
水肿	医疗
钱穆	无锡
三江平原	黑龙江
linux	系统软件
音乐欣赏	书籍
梁咏琪	音乐
阴霾	自然科学
意识形态	意识
血型	法医学
色谱	无机化学
纹身	生活
贾庆林	履历
余干县	江西
王治郅	篮球
同位素	自然科学
民歌	诗人
砗磲	自然
厄立特里亚	世界
泷泽秀明	亚洲明星
同性恋	生活
tvb	香港
巴基斯坦	南亚
亚健康	生活
乔石	博山
结汇	人文科学
强子	明星
杨尚昆	彭德怀
产品	自然科学
